gene_a,gene_b,within,pearson,co_detect
Apob,Mttp,组内,0.0833,0.3456
Apob,Tm6sf2,组内,0.0144,0.108
Apob,Sar1b,组内,0.0394,0.3211
Apob,Apoa1,组间,0.107,0.8364
Apob,Apoa2,组间,0.0343,0.8184
Apob,Apoa4,组间,0.0717,0.2468
Apob,Apoc3,组间,0.0515,0.6744
Apob,Apoe,组间,0.0161,0.8113
Mttp,Tm6sf2,组内,0.0178,0.0596
Mttp,Sar1b,组内,0.0754,0.1839
Mttp,Apoa1,组间,-0.1082,0.3619
Mttp,Apoa2,组间,-0.1578,0.3537
Mttp,Apoa4,组间,-0.0466,0.1027
Mttp,Apoc3,组间,-0.0825,0.2952
Mttp,Apoe,组间,-0.1561,0.3522
Tm6sf2,Sar1b,组内,0.0244,0.0564
Tm6sf2,Apoa1,组间,0.0263,0.1171
Tm6sf2,Apoa2,组间,0.0477,0.1161
Tm6sf2,Apoa4,组间,0.0393,0.0427
Tm6sf2,Apoc3,组间,0.0693,0.1039
Tm6sf2,Apoe,组间,0.0499,0.1157
Sar1b,Apoa1,组间,-0.0449,0.3451
Sar1b,Apoa2,组间,-0.0379,0.3394
Sar1b,Apoa4,组间,-0.0122,0.0999
Sar1b,Apoc3,组间,-0.0003,0.2857
Sar1b,Apoe,组间,-0.0218,0.339
Apoa1,Apoa2,组内,0.4941,0.939
Apoa1,Apoa4,组内,0.2731,0.2792
Apoa1,Apoc3,组间,0.364,0.7703
Apoa1,Apoe,组间,0.4874,0.9318
Apoa2,Apoa4,组内,0.2834,0.2789
Apoa2,Apoc3,组间,0.5106,0.7652
Apoa2,Apoe,组间,0.6558,0.9171
Apoa4,Apoc3,组间,0.2539,0.2518
Apoa4,Apoe,组间,0.2905,0.2785
Apoc3,Apoe,组内,0.5062,0.7609
