set,gene,bin,n,mean,grad_med
VLDL_assembly,Apob,0,6715,1.9365369081497192,-0.72652
VLDL_assembly,Apob,1,6714,1.8873927593231201,-0.60540613
VLDL_assembly,Apob,2,6715,1.8564105033874512,-0.51951975
VLDL_assembly,Apob,3,6714,1.8470205068588257,-0.46198216000000003
VLDL_assembly,Apob,4,6714,1.8501108884811401,-0.41825007000000003
VLDL_assembly,Apob,5,6715,1.8151500225067139,-0.3713085
VLDL_assembly,Apob,6,6714,1.8198471069335938,-0.321706415
VLDL_assembly,Apob,7,6715,1.7488880157470703,-0.26667184
VLDL_assembly,Apob,8,6714,1.6517432928085327,-0.19803764000000001
VLDL_assembly,Apob,9,6715,1.671242117881775,-0.07462287
VLDL_assembly,Mttp,0,6715,0.8463428616523743,-0.72652
VLDL_assembly,Mttp,1,6714,0.5891305208206177,-0.60540613
VLDL_assembly,Mttp,2,6715,0.5393686890602112,-0.51951975
VLDL_assembly,Mttp,3,6714,0.5223508477210999,-0.46198216000000003
VLDL_assembly,Mttp,4,6714,0.5046922564506531,-0.41825007000000003
VLDL_assembly,Mttp,5,6715,0.5040027499198914,-0.3713085
VLDL_assembly,Mttp,6,6714,0.48529207706451416,-0.321706415
VLDL_assembly,Mttp,7,6715,0.4435451030731201,-0.26667184
VLDL_assembly,Mttp,8,6714,0.396179735660553,-0.19803764000000001
VLDL_assembly,Mttp,9,6715,0.46099668741226196,-0.07462287
VLDL_assembly,Tm6sf2,0,6715,0.20307278633117676,-0.72652
VLDL_assembly,Tm6sf2,1,6714,0.17730030417442322,-0.60540613
VLDL_assembly,Tm6sf2,2,6715,0.18323558568954468,-0.51951975
VLDL_assembly,Tm6sf2,3,6714,0.18013112246990204,-0.46198216000000003
VLDL_assembly,Tm6sf2,4,6714,0.17320139706134796,-0.41825007000000003
VLDL_assembly,Tm6sf2,5,6715,0.17181849479675293,-0.3713085
VLDL_assembly,Tm6sf2,6,6714,0.1534571647644043,-0.321706415
VLDL_assembly,Tm6sf2,7,6715,0.14202247560024261,-0.26667184
VLDL_assembly,Tm6sf2,8,6714,0.13981059193611145,-0.19803764000000001
VLDL_assembly,Tm6sf2,9,6715,0.12918168306350708,-0.07462287
VLDL_assembly,Sar1b,0,6715,0.7752252817153931,-0.72652
VLDL_assembly,Sar1b,1,6714,0.5526484847068787,-0.60540613
VLDL_assembly,Sar1b,2,6715,0.5103979706764221,-0.51951975
VLDL_assembly,Sar1b,3,6714,0.5259764790534973,-0.46198216000000003
VLDL_assembly,Sar1b,4,6714,0.49656882882118225,-0.41825007000000003
VLDL_assembly,Sar1b,5,6715,0.49829596281051636,-0.3713085
VLDL_assembly,Sar1b,6,6714,0.490251749753952,-0.321706415
VLDL_assembly,Sar1b,7,6715,0.43555188179016113,-0.26667184
VLDL_assembly,Sar1b,8,6714,0.4393180012702942,-0.19803764000000001
VLDL_assembly,Sar1b,9,6715,0.47122693061828613,-0.07462287
HDL_apolipo,Apoa1,0,6715,2.072789430618286,-0.72652
HDL_apolipo,Apoa1,1,6714,2.268174409866333,-0.60540613
HDL_apolipo,Apoa1,2,6715,2.322526216506958,-0.51951975
HDL_apolipo,Apoa1,3,6714,2.3514420986175537,-0.46198216000000003
HDL_apolipo,Apoa1,4,6714,2.369800090789795,-0.41825007000000003
HDL_apolipo,Apoa1,5,6715,2.3770084381103516,-0.3713085
HDL_apolipo,Apoa1,6,6714,2.3865182399749756,-0.321706415
HDL_apolipo,Apoa1,7,6715,2.360617160797119,-0.26667184
HDL_apolipo,Apoa1,8,6714,2.339695930480957,-0.19803764000000001
HDL_apolipo,Apoa1,9,6715,2.2850608825683594,-0.07462287
HDL_apolipo,Apoa2,0,6715,1.8723818063735962,-0.72652
HDL_apolipo,Apoa2,1,6714,2.1081197261810303,-0.60540613
HDL_apolipo,Apoa2,2,6715,2.177910566329956,-0.51951975
