,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Igfbp1,15314.871277573702,5.793853665312976,0.2064818004065837,28.059875756140677,3.0268101178801437e-173,3.7550606322421064e-169
Tiparp,1083.334495481483,4.926608180520839,0.1932129680981769,25.498330826414776,2.05709395422438e-143,1.2760153798053829e-139
Steap4,54275.51385375767,4.8203222343042516,0.19156472832427404,25.16289024848342,1.0212938263709538e-139,4.22339040331935e-136
Abca1,17942.79832589712,2.999093064514406,0.13291097285826325,22.564676189020528,9.637659268843715e-113,2.9891200222318783e-109
Ets2,1793.4365248024094,4.419036974204614,0.2081119124818679,21.233945339816287,4.639904505728048e-100,1.151253105961243e-96
Cxcl1,1874.768435836739,3.6784826894126836,0.18215634147455062,20.194096234231907,1.1032694987320277e-90,2.281193566878256e-87
Arrdc4,2847.6851706108255,5.42271867824274,0.29214373645336694,18.5618173576976,6.545257292966239e-77,1.1600065996648451e-73
Rnf103,3364.4807704200853,2.833747595857697,0.1546378133406287,18.3250625098769,5.222138150047698e-75,8.098230736186468e-72
Pnrc1,2818.517491238125,3.2711972740329207,0.17941392935198328,18.232682857167244,2.840391364278405e-74,3.9153216961375436e-71
Ccnl1,999.2456420339378,3.5142931148490235,0.19424004098592168,18.09252663359835,3.649643668080073e-73,4.5277479346201386e-70
Tat,34596.18623677571,2.9123523972054493,0.1611876580522951,18.06808556186465,5.685250875724652e-73,6.411929305840002e-70
Jmjd1c,2583.291479408685,3.095693615482579,0.17289695395307716,17.904847625729282,1.0809055412762983e-71,1.1174761787561463e-68
Nopchap1,909.7816196117844,3.490336265891186,0.19553735007791456,17.849972215029066,2.8918024486299807e-71,2.7596693213618107e-68
Sox9,908.7212725929593,3.73365912789006,0.21177872551109558,17.63000093082742,1.4496465277628392e-69,1.2845939159589844e-66
Il1r1,6479.5671374245485,2.9502100124897104,0.1711524949158309,17.237318181897145,1.3935316930199943e-66,1.1525436122404033e-63
Retreg1,4856.7990103762995,3.4444559992292128,0.20751617160208488,16.598494337270274,7.146109056143896e-62,5.540914309407573e-59
Tgm2,4404.172013342914,3.1027253846221337,0.18783158678066303,16.518656088686967,2.6933279911544545e-61,1.965495709309539e-58
Cd14,2122.9051180698993,12.333750905120105,0.7530638093140383,16.378095391882997,2.741955204260506e-60,1.889816459114213e-57
Slc39a14,8839.557913546227,2.213168601332509,0.13601297268634988,16.271746419631196,1.56626100603521e-59,1.0226860021512008e-56
Tifa,4280.013702896471,4.7566331336847165,0.29606758592240445,16.066038161068295,4.414117617058779e-58,2.7380771578615605e-55
Tead1,1200.396396553771,4.589316750233252,0.286497154967538,16.018716663183795,9.458223502188396e-58,5.587558131816631e-55
H3f3b,6083.340108837909,3.423661966744536,0.21431368307447637,15.975004104403244,1.9084183377988583e-57,1.0761744499423925e-54
Gcnt2,802.016529959236,3.3115024604257854,0.21354482777888426,15.507294158651748,3.096557643406177e-54,1.6702562662650885e-51
Plscr1,1140.9755192190303,4.562091103087369,0.2980014139809111,15.308957907762142,6.66228184958083e-53,3.443844526079157e-50
Tbx3,455.0866780679164,-3.928614048253211,0.26137584536751196,-15.03051685104764,4.633761348072961e-51,2.2994577313677265e-48
Cldn14,419.1890483898006,3.978348027595653,0.2669578483741289,14.902532560197239,3.173200181501926e-50,1.5141046712197266e-47
Trp53inp1,1524.646927309784,2.9098378650260437,0.1953719313711443,14.893837843565565,3.6141422901393347e-50,1.6606314537580956e-47
Lepr,290.93006905498555,4.797978902225856,0.322747103889477,14.866063380289534,5.473877781392058e-50,2.425318848426781e-47
Serpine1,2813.398432665714,8.745247427205571,0.588462661102448,14.8611764267624,5.888203708026447e-50,2.518932937992279e-47
Slc38a2,3540.3054627748893,2.6765682056692772,0.18047982089082162,14.830290679911657,9.332794879464488e-50,3.859421775821215e-47
Irak3,485.85573211366295,4.48231530277875,0.3042743829787225,14.731162245400698,4.066514721265849e-49,1.6273929558717459e-46
Arrdc3,787.744109398331,-3.918490208925068,0.2674589398479288,-14.65081036795044,1.331184928437908e-48,5.160837569437715e-46
Cdkn1a,712.5667344838612,4.24872602404332,0.2913378619892866,14.583501076834152,3.5769216372526145e-48,1.3447057524774526e-45
Zc3h13,1959.47291743079,3.703719635403908,0.2572346959379992,14.398211803809737,5.309966515801674e-47,1.9375130763245756e-44
Il17ra,1123.4152133136658,2.827290731194061,0.197774935122683,14.295495682707452,2.334377324036953e-46,8.274367166286411e-44
Serpina3m,13140.687280020713,2.018439007709728,0.14250869973793112,14.163619564430606,1.5386068706232916e-45,5.302210232486821e-43
Arid5a,337.2233314201374,3.3240594277154627,0.24239416396745606,13.713446616485998,8.435366368573788e-43,2.8283555450953084e-40
