program,gene,log2FC,pvalue,padj,direction
Cholesterol_synth,Sqle,0.6805,0.024687654572750215,0.09002793728087571,↑
Cholesterol_synth,Hmgcs1,-0.5062,0.07172296447719863,0.1930978943802357,↓
Cholesterol_synth,Hmgcr,0.4937,0.07510621373886325,0.1991480289495286,↑
Cholesterol_synth,Msmo1,-0.6471,0.023368468622303386,0.08612870520745568,↓
Cholesterol_synth,Fdps,0.3459,0.5814064642879657,0.7694484009729592,↑
Lipogenesis,Acaca,1.1042,1.3291713707347645e-06,2.043333336472799e-05,↑
Lipogenesis,Fasn,2.192,2.1142318280054833e-21,2.0491531295496896e-19,↑
Lipogenesis,Scd1,1.0014,0.03608709570883049,0.11840690541225893,↑
Lipogenesis,Acly,0.6658,0.0022866740534489456,0.01352167698145263,↑
Lipogenesis,Elovl6,1.4144,1.5599731012142985e-07,2.936726296458966e-06,↑
FAO,Cpt1a,-0.6768,0.0003520171646886774,0.002833955188272376,↓
FAO,Acadm,-0.6358,0.0007893762008663498,0.00559280476753166,↓
FAO,Acadl,-0.2524,0.1759668701679078,0.36131165033152335,↓
FAO,Hadha,-0.552,0.0014716782392849347,0.009406306149700618,↓
FAO,Echs1,-0.2111,0.27461716596765406,0.4833001028146649,↓
Fatty_acid_uptake,Cd36,0.765,0.01360794852092506,0.056708165720724325,↑
Fatty_acid_uptake,Slc27a1,-0.134,0.7832737152890681,0.897671474538215,↓
Fatty_acid_uptake,Slc27a2,-0.4777,0.0005733346920495943,0.004256606935707521,↓
Fatty_acid_uptake,Fabp1,-0.3086,0.21745648052044553,0.41697827960523326,↓
Lipoprotein_uptake,Ldlr,-0.6453,0.013233107753123953,0.05544408469613501,↓
Lipoprotein_uptake,Scarb1,0.7218,0.0008710097181047979,0.006098051107679528,↑
Lipoprotein_uptake,Lrp1,-0.1808,0.35231773945392253,0.5665397116870206,↓
Lipoprotein_assembly,Apoa1,0.2913,0.16438812308960138,0.34560228013041766,↑
Lipoprotein_assembly,Apoa2,0.0805,0.5583390818902967,0.7525809050337918,≈
Lipoprotein_assembly,Apob,0.3331,0.020497979711812546,0.07745901197220421,↑
Lipoprotein_assembly,Mttp,-0.1646,0.356670322249906,0.570433417278888,↓
Efflux,Abca1,2.9991,9.637659268843715e-113,2.9891200222318783e-109,↑
Efflux,Abcg5,0.0727,0.814993754785277,0.9164004489122712,≈
Efflux,Abcg8,-1.0391,0.001495440951017709,0.009543436439467952,↓
Efflux,Apoe,-0.1341,0.3317549814218197,0.5461454749892642,↓
Lipid_peroxidation,Gpx4,0.0975,0.5858142969308464,0.7732324893844111,≈
Lipid_peroxidation,Acsl4,0.3483,0.04944585165284785,0.14777770069988688,↑
Lipid_peroxidation,Hmox1,3.2712,3.4993780778856126e-07,6.105947177812786e-06,↑
Lipid_peroxidation,Tfrc,-0.0787,0.8316899982416482,0.9242143246704352,≈
