program,n,mean_log2FC,median_log2FC,bg_median,p_gene_set
FAO,12,-0.421,-0.452,0.01,0.03820498031693326
Peroxisome,11,-0.577,-0.383,0.01,0.06509491027051291
Lipogenesis,9,0.85,1.001,0.01,0.04508046760973071
Cholesterol_synth,15,-0.293,-0.506,0.01,0.21336956993161948
Lipoprotein_assembly,8,0.136,0.153,0.01,0.5677281734297855
Uptake,8,-0.117,-0.221,0.01,0.6324395601282635
Efflux,7,-0.633,-0.282,0.01,0.2610403472419972
Lipid_peroxidation,8,1.291,0.223,0.01,0.20348714762806774
Fatty_acid_uptake [拆分],4,-0.039,-0.221,0.01,0.7984195628834223
Lipoprotein_uptake [拆分],3,-0.035,-0.181,0.01,0.8738901426587248
