program,n,mean_log2FC,median_log2FC,bg_median,p_gene_set
FAO,12,-0.421,-0.452,0.01,0.03820498031693326
Peroxisome,11,-0.577,-0.383,0.01,0.06509491027051291
Lipogenesis,9,0.85,1.001,0.01,0.04508046760973071
Cholesterol_synth,15,-0.293,-0.506,0.01,0.21336956993161948
Lipoprotein_assembly,9,0.106,0.098,0.01,0.6459700928386305
LDLR_clearance,5,-1.097,-0.645,0.01,0.07286629777071478
Scavenger_SR_B,2,,,,
FA_transport,5,-0.353,-0.309,0.01,0.30307530944450123
HDL_efflux,2,,,,
Biliary_excretion,6,-0.711,-0.768,0.01,0.050326229198774504
Bile_acid_synth,3,-3.397,-2.289,0.01,0.04607206384237152
Lipid_peroxidation,8,1.291,0.223,0.01,0.20348714762806774
