program,gene,baseMean,log2FC,padj,direction
LDLR_clearance,Ldlr,1372.9,-0.645,0.055444084696135,↓
LDLR_clearance,Vldlr,15.1,-3.482,0.008482354623375,↓
LDLR_clearance,Lrp1,24391.7,-0.181,0.5665397116870206,↓
LDLR_clearance,Ldlrap1,153.1,-1.155,0.0016974279841893,↓
LDLR_clearance,Lrpap1,326.6,-0.022,0.9709351324222728,≈
Scavenger_SR_B,Scarb1,1419.6,0.722,0.0060980511076795,↑
Scavenger_SR_B,Cd36,294.4,0.765,0.0567081657207243,↑
FA_transport,Slc27a1,40.1,-0.134,0.897671474538215,↓
FA_transport,Slc27a2,11477.3,-0.478,0.0042566069357075,↓
FA_transport,Slc27a4,152.3,-1.008,0.0070751536857833,↓
FA_transport,Slc27a5,5540.2,0.164,0.5898687291784136,↑
FA_transport,Fabp1,21005.9,-0.309,0.4169782796052332,↓
HDL_efflux,Abca1,17942.8,2.999,2.989120022231879e-109,↑
HDL_efflux,Pltp,293.8,-0.282,0.658689661996452,↓
Biliary_excretion,Abcg5,232.7,0.073,0.9164004489122712,≈
Biliary_excretion,Abcg8,211.3,-1.039,0.0095434364394679,↓
Biliary_excretion,Abcb11,4905.7,-0.387,0.0713016083371583,↓
Biliary_excretion,Abcb4,2344.0,-0.949,8.107791295476152e-06,↓
Biliary_excretion,Abcc2,3167.0,-1.379,6.706879755854693e-11,↓
Biliary_excretion,Atp8b1,831.4,-0.586,0.0254154658041805,↓
Bile_acid_synth,Cyp7a1,2162.0,-7.757,3.256373612798757e-08,↓
Bile_acid_synth,Cyp8b1,4082.0,-2.289,1.6907596969152649e-13,↓
Bile_acid_synth,Cyp27a1,3464.5,-0.145,0.6761008799519865,↓
(已移出程序),Lipc,1045.3,0.147,0.5778838640247277,↑
(已移出程序),Abcg1,3.8,-5.153,0.1406548629232516,↓
(已移出程序),Nr1h3,506.5,-0.894,0.0001114115802497,↓
