program,gene,baseMean,log2FC,padj,direction
Lipoprotein_uptake,Ldlr,1372.9,-0.645,0.055444084696135,↓
Lipoprotein_uptake,Vldlr,15.1,-3.482,0.008482354623375,↓
Lipoprotein_uptake,Lrp1,24391.7,-0.181,0.5665397116870206,↓
Lipoprotein_uptake,Scarb1,1419.6,0.722,0.0060980511076795,↑
Lipoprotein_uptake,Lipc,1045.3,0.147,0.5778838640247277,↑
FA_transport,Slc27a1,40.1,-0.134,0.897671474538215,↓
FA_transport,Slc27a2,11477.3,-0.478,0.0042566069357075,↓
FA_transport,Slc27a4,152.3,-1.008,0.0070751536857833,↓
FA_transport,Slc27a5,5540.2,0.164,0.5898687291784136,↑
FA_transport,Cd36,294.4,0.765,0.0567081657207243,↑
FA_transport,Fabp1,21005.9,-0.309,0.4169782796052332,↓
