group,gene,detect,mean_expr,rho_zonation,snRNA_log2FC,bulk_baseMean,bulk_log2FC,bulk_padj,note
HDL_efflux,Abca1,0.6498,1.2431,-0.0726,0.944,17942.8,2.999,2.989120022231879e-109,
HDL_efflux,Abcg1,0.0227,0.0357,0.0559,-0.582,3.8,-5.153,0.1406548629232516,
HDL_efflux,Pltp,0.0509,0.0749,0.0586,-0.147,293.8,-0.282,0.658689661996452,
Biliary_sterol,Abcg5,0.2539,0.3626,-0.0767,-0.572,232.7,0.073,0.9164004489122712,
Biliary_sterol,Abcg8,0.2738,0.4014,-0.0534,-0.826,211.3,-1.039,0.0095434364394679,
Biliary_sterol,Abcb11,0.6201,1.1548,-0.2236,-0.004,4905.7,-0.387,0.0713016083371583,
Biliary_sterol,Abcb4,0.6196,1.1289,-0.1125,-0.105,2344.0,-0.949,8.107791295476152e-06,
Biliary_sterol,Abcc2,0.8524,1.8211,-0.1114,-0.119,3167.0,-1.379,6.706879755854693e-11,
Biliary_sterol,Atp8b1,0.4322,0.6825,-0.1603,1.423,831.4,-0.586,0.0254154658041805,
Bile_acid_synth,Cyp7a1,0.3979,0.8196,0.1627,-2.645,2162.0,-7.757,3.256373612798757e-08,
Bile_acid_synth,Cyp8b1,0.2555,0.4271,0.0151,-1.62,4082.0,-2.289,1.6907596969152649e-13,
Bile_acid_synth,Cyp27a1,0.6498,1.1967,0.0443,-0.585,3464.5,-0.145,0.6761008799519865,
Nuclear_receptor,Nr1h3,0.2789,0.4065,-0.037,-0.344,506.5,-0.894,0.0001114115802497,
Nuclear_receptor,Nr1h2,0.1602,0.2337,0.0113,-0.529,258.6,0.489,0.2298481971622492,
Nuclear_receptor,Nr1h4,0.8317,1.7317,-0.1291,-0.104,1002.5,-1.678,2.0029236330374634e-12,
Zone_ref,Glul,0.289,0.5279,0.2929,-2.055,9129.7,-0.163,0.7568381769181449,
Zone_ref,Cyp2e1,0.82,1.8079,0.33,-0.811,39001.9,-1.56,1.967431736581548e-08,
Zone_ref,Ass1,0.7247,1.4028,-0.3873,-0.614,12094.9,0.333,0.198047513808982,
Zone_ref,Cps1,0.9658,2.4279,-0.3318,-0.177,51878.5,0.045,0.9158437172663644,
Zone_ref,Pck1,0.9608,2.3196,-0.2379,-0.215,13253.3,-1.407,0.1239269438853175,
Apo_ref,Apoe,0.948,2.1995,0.1716,-0.481,171466.5,-0.134,0.5461454749892642,
Apo_ref,Apob,0.8502,1.8084,-0.1087,0.122,143303.2,0.333,0.0774590119722042,
Apo_ref,Apoa1,0.977,2.3134,0.1089,-0.066,82926.3,0.291,0.3456022801304176,
