gene,group,bin,n,mean,zc
Abca1,Sham,0,3420,1.0507442951202393,-0.7282628
Abca1,Sham,1,3419,0.827713131904602,-0.5630905
Abca1,Sham,2,3420,0.7985618710517883,-0.48928714
Abca1,Sham,3,3419,0.7906055450439453,-0.44062132
Abca1,Sham,4,3419,0.7640162110328674,-0.39919755
Abca1,Sham,5,3420,0.7644379138946533,-0.35999492
Abca1,Sham,6,3419,0.771587073802948,-0.32021022
Abca1,Sham,7,3420,0.7551953196525574,-0.27493734000000003
Abca1,Sham,8,3419,0.764171302318573,-0.21551788
Abca1,Sham,9,3420,0.8571911454200745,-0.11035838749999999
Abca1,CLP,0,3295,1.7298047542572021,-0.7252295
Abca1,CLP,1,3295,1.7357392311096191,-0.6332191
Abca1,CLP,2,3295,1.7414425611495972,-0.56623507
Abca1,CLP,3,3295,1.7514052391052246,-0.5058848
Abca1,CLP,4,3295,1.734862208366394,-0.4482787
Abca1,CLP,5,3295,1.7169898748397827,-0.38891482
Abca1,CLP,6,3295,1.6809334754943848,-0.3239999
Abca1,CLP,7,3295,1.612388253211975,-0.2528145
Abca1,CLP,8,3295,1.5538060665130615,-0.17021167
Abca1,CLP,9,3295,1.6225299835205078,-0.053990714
Abcg1,Sham,0,3420,0.028256315737962723,-0.7282628
Abcg1,Sham,1,3419,0.021943723782896996,-0.5630905
Abcg1,Sham,2,3420,0.030366195365786552,-0.48928714
Abcg1,Sham,3,3419,0.029311003163456917,-0.44062132
Abcg1,Sham,4,3419,0.03049416095018387,-0.39919755
Abcg1,Sham,5,3420,0.027626004070043564,-0.35999492
Abcg1,Sham,6,3419,0.03694089129567146,-0.32021022
Abcg1,Sham,7,3420,0.037671588361263275,-0.27493734000000003
Abcg1,Sham,8,3419,0.04454849287867546,-0.21551788
Abcg1,Sham,9,3420,0.05619995296001434,-0.11035838749999999
Abcg1,CLP,0,3295,0.016875913366675377,-0.7252295
Abcg1,CLP,1,3295,0.014551718719303608,-0.6332191
Abcg1,CLP,2,3295,0.01655859313905239,-0.56623507
Abcg1,CLP,3,3295,0.01969766989350319,-0.5058848
