gene,mean_B,mean_other,det_B,det_other,log2FC,det_diff
Gm26206,0.0,0.0,0.0,0.0,0.0,0.0
Xkr4,1.2188,0.0114,0.5777,0.0068,6.739,0.5709
Gm53491,0.286,0.0039,0.1501,0.0023,6.2107,0.1478
Rp1,0.002,0.0012,0.0011,0.0008,0.7723,0.0003
Sox17,0.0043,0.0394,0.0021,0.0254,-3.2118,-0.0233
Gm22307,0.0,1e-04,0.0,0.0001,-7.003,-0.0001
Gm37323,0.0003,0.0003,0.0002,0.0002,0.3111,0.0
Gm39586,0.0,0.0,0.0,0.0,-4.883,-0.0
Gm46082,0.0,0.0,0.0,0.0,0.0,0.0
Gm29874,0.0,0.0,0.0,0.0,-5.3313,-0.0
Mrpl15,0.1647,0.2227,0.0905,0.1657,-0.4357,-0.0752
Lypla1,0.1215,0.5483,0.0667,0.3775,-2.1743,-0.3108
LOC118567656,0.0012,0.018,0.0006,0.0171,-3.9151,-0.0165
Tcea1,0.4458,0.4719,0.2358,0.3422,-0.0822,-0.1064
Rgs20,0.2369,0.0193,0.1232,0.0162,3.6189,0.1071
Gm16041,0.0007,0.0,0.0004,0.0,6.3288,0.0004
Atp6v1h,0.4592,0.4618,0.2429,0.3316,-0.0081,-0.0887
Oprk1,0.039,0.0002,0.0199,0.0001,7.3764,0.0197
Npbwr1,0.0014,0.0,0.0008,0.0,10.4666,0.0008
Gm46206,0.0005,1e-04,0.0003,0.0001,1.8646,0.0002
Rb1cc1,0.6486,0.7136,0.3371,0.4667,-0.1378,-0.1296
Alkal1,0.0015,0.0009,0.0008,0.0006,0.685,0.0001
St18,0.3665,0.0048,0.1677,0.0027,6.247,0.165
Pcmtd1,0.6638,0.999,0.3418,0.5793,-0.5896,-0.2375
Gm23274,0.0,0.0,0.0,0.0,0.0,0.0
Gm26901,0.05,0.0296,0.0284,0.0252,0.7572,0.0032
Gm39589,0.0013,1e-04,0.0008,0.0001,3.4101,0.0007
Sntg1,1.2189,0.1854,0.5828,0.1046,2.7169,0.4782
Gm30719,0.0,0.0,0.0,0.0,-3.8192,-0.0
Gm24765,0.0,0.0,0.0,0.0,0.0,0.0
Rrs1,0.0892,0.1966,0.0486,0.1514,-1.1396,-0.1028
Adhfe1,0.0351,0.5814,0.0183,0.393,-4.0516,-0.3747
2610203C22Rik,0.0172,0.076,0.0099,0.0628,-2.1393,-0.0529
Vxn,0.2673,0.0051,0.1444,0.0042,5.7109,0.1402
Mybl1,0.0164,0.0213,0.009,0.0173,-0.3765,-0.0084
Vcpip1,0.1961,0.4696,0.1082,0.3375,-1.2598,-0.2293
1700034P13Rik,0.002,0.0329,0.0013,0.0288,-4.0704,-0.0275
Gm39590,0.0004,0.0035,0.0002,0.0028,-3.0036,-0.0026
Sgk3,0.2778,0.3324,0.1435,0.2485,-0.2588,-0.105
Gm6195,0.0,0.0,0.0,0.0,0.0,0.0
Mcmdc2,0.0424,0.0092,0.0237,0.0075,2.2098,0.0162
Snhg6,0.1152,0.1133,0.063,0.0853,0.0236,-0.0223
Snord87,0.0,0.0,0.0,0.0,-4.0761,-0.0
Tcf24,0.0007,0.0009,0.0004,0.0006,-0.4406,-0.0002
Ppp1r42,0.0073,0.0018,0.0042,0.0015,2.0491,0.0027
Gm24674,0.0,0.0,0.0,0.0,0.0,0.0
