program,sham_mean,clp_mean,pct_change,CLP_1,CLP_2,CLP_3,Sham_1,Sham_2,separation,perm_p,perm_min_p,cell_AUC
FAO,0.19831,0.14029,-29.26,0.1201,0.1025,0.1983,0.1841,0.2125,有重叠,0.3,0.1,0.339
Peroxisome,0.26863,0.26764,-0.37,0.2357,0.2684,0.2987,0.2299,0.3073,有重叠,1.0,0.1,0.608
Lipogenesis,0.11698,0.17993,53.82,0.1665,0.2194,0.1539,0.0906,0.1433,完全分离(CLP 全高于 Sham),0.2,0.1,0.763
Cholesterol_synth,0.08569,0.24283,183.4,0.2437,0.2288,0.2559,0.1542,0.0172,完全分离(CLP 全高于 Sham),0.1,0.1,0.776
Lipoprotein_assembly,0.55413,0.45594,-17.72,0.4226,0.3868,0.5584,0.528,0.5802,有重叠,0.3,0.1,0.29
LDLR_clearance,0.13588,0.18525,36.33,0.165,0.1988,0.192,0.1852,0.0866,有重叠,0.3,0.1,0.549
Scavenger_SR_B,0.09395,0.13281,41.36,0.1453,0.1306,0.1226,0.0856,0.1023,完全分离(CLP 全高于 Sham),0.1,0.1,0.591
FA_transport,0.35118,0.18329,-47.81,0.1611,0.1457,0.2431,0.3553,0.3471,完全分离(CLP 全低于 Sham),0.1,0.1,0.157
HDL_efflux,0.17093,0.39586,131.59,0.3701,0.4089,0.4086,0.1608,0.181,完全分离(CLP 全高于 Sham),0.1,0.1,0.842
Biliary_excretion,0.3634,0.37511,3.22,0.3718,0.4378,0.3157,0.2767,0.4501,有重叠,0.9,0.1,0.657
Bile_acid_synth,0.38514,0.16936,-56.03,0.1755,0.2329,0.0997,0.5021,0.2682,完全分离(CLP 全低于 Sham),0.1,0.1,0.15
Lipid_peroxidation,0.18313,0.14027,-23.4,0.1484,0.0705,0.2019,0.1632,0.2031,有重叠,0.4,0.1,0.38
