,FAO,Peroxisome,Lipogenesis,Cholesterol_synth,Lipoprotein_assembly,LDLR_clearance,Scavenger_SR_B,FA_transport,HDL_efflux,Biliary_excretion,Bile_acid_synth,Lipid_peroxidation
Ppara,0.039575444741765727,0.08294756411994857,0.0418772700452074,-0.05485861965703194,0.0016621012109415674,0.009093019815672744,0.02210948499425836,0.03369353044867435,-0.002728210195179899,0.10319344498576667,0.029679228355318072,-0.019941887899059544
Nr1h4,0.006450252806689053,-0.1491707649815278,-0.1368928864965208,-0.1526261770502964,-0.039038352680713366,-0.05568322912476712,-0.07718678112604953,0.10050237684717618,-0.19847886341621504,-0.11678719693925267,0.18398525968090823,-0.07906797887626481
Nr1h3,0.040384803594183435,0.11635684786638924,0.06201782809293822,0.02469177425884573,0.0318442367740923,0.05791337289432757,0.02959832357400707,0.023545054752185157,0.041678103274359835,0.11570122817685122,0.03339026470952845,0.015376280023104615
Rxra,0.050883705419927906,0.08488614501295763,0.0335713618995772,0.03151702370539633,0.046067334419714834,0.07586198683912017,0.016099457853812955,0.05680523765534335,0.01779596667917185,0.08206037549320974,0.06439652976959326,0.01430699654970508
Srebf1,0.033003288184440475,-0.07928238380541842,-0.12212402540822745,-0.03716258503470401,0.02969236587016393,0.0842158438266507,-0.05637973728807614,0.163913290778142,-0.1645771316974495,-0.07606672756658654,0.28352780796843136,-0.03726453192053562
Srebf2,-0.06193986722591355,0.1787882231649019,0.2319108455053202,0.22463949054245946,-0.11896463814682728,0.11898094046041785,0.0846027554378189,-0.16513485810454964,0.24133455060829698,0.22526551496560748,-0.12887565670038476,-0.09220405245874426
Mlxipl,0.1632652701540878,-0.15875869246655194,-0.30988676810858623,-0.2485284993351825,0.18421377447767387,-0.01522526705462977,-0.1299880353387961,0.37029796646387175,-0.37737843214699857,-0.2166162802336756,0.4207560719167425,0.08466884943378428
Hnf4a,0.007696478607323715,0.06893363090695749,0.07776011290006349,0.04132671665071177,-0.007335446435371239,0.014027341294257705,0.02160721989195488,-0.03607838064051307,0.06375372873375036,0.06395966414824852,-0.07837607004932035,-0.02059724329411565
Ppargc1a,-0.06946812342952025,0.24116012167896042,0.28313121094890026,0.059926422284945144,-0.11530002340117065,0.021330140021107863,0.08490436461858392,-0.1923444789589569,0.22438680319602342,0.339324284024347,-0.27128126591079793,-0.1036037796815376
Nfe2l2,0.00654896355443317,0.13526719722418398,0.09671540438955081,0.007493670415055694,-0.022402346382085766,0.05360389764814461,0.05914197936927359,-0.005813562191208384,0.07403045668616988,0.16906933836258298,0.019530057980233266,-0.013938049358975182
Nr1i3,0.17642337845287204,-0.2321330703619099,-0.40642320526375353,-0.25589408907988415,0.20876356566200155,-0.029308966045051604,-0.16909686369793517,0.4291741271450347,-0.46208559576150166,-0.3175348260968457,0.514689108708946,0.10534724101578076
Thrb,-0.15805001700462415,0.0021509489384433826,0.1518800418537188,0.039217763967541404,-0.26641922995964007,-0.0115314817499864,0.04067758629531287,-0.2082420030507244,0.10280922310204596,0.135881315015628,-0.11168528388971322,-0.23884954123916727
