gene,human_log2FC,human_ctrl,human_sep,mouse_log2FC,mouse_padj,conserved
CPT1A,-0.985,84.4,42.4,-0.677,0.0028339551882723,✓
ACADM,-0.426,43.8,32.5,-0.636,0.0055928047675316,✓
HADHA,0.015,145.6,147.2,-0.552,0.0094063061497006,✗
SLC27A2,-0.884,49.5,26.6,-0.478,0.0042566069357075,✓
SLC27A4,0.282,2.8,3.5,-1.008,0.0070751536857833,✗
LDLR,0.37,266.1,344.0,-0.645,0.055444084696135,✗
VLDLR,0.555,1.6,2.7,-3.482,0.008482354623375,✗
LDLRAP1,-0.251,8.2,6.8,-1.155,0.0016974279841893,✓
LRP1,-0.399,161.0,122.0,-0.181,0.5665397116870206,✓
SCARB1,-0.58,219.7,146.8,0.722,0.0060980511076795,✗
CD36,-1.628,12.8,3.8,0.765,0.0567081657207243,✗
FASN,-1.983,541.2,136.5,2.192,2.0491531295496896e-19,✗
ACACA,-0.917,49.7,26.1,1.104,2.043333336472799e-05,✗
ELOVL6,-1.394,74.0,27.9,1.414,2.936726296458966e-06,✗
ACLY,-2.228,648.7,138.0,0.666,0.0135216769814526,✗
CYP8B1,-1.06,7.0,3.1,-2.289,1.6907596969152649e-13,✓
ABCB11,0.13,91.3,100.0,-0.387,0.0713016083371583,✗
ABCB4,0.563,7.1,10.7,-0.949,8.107791295476152e-06,✗
ABCC2,-1.382,65.3,24.8,-1.379,6.706879755854693e-11,✓
ABCG8,-1.805,6.9,1.6,-1.039,0.0095434364394679,✓
ABCA1,0.309,155.1,192.3,2.999,2.989120022231879e-109,✓
HMOX1,-0.302,71.2,57.6,3.271,6.105947177812786e-06,✗
SLC7A11,-0.884,56.9,30.6,6.973,0.0042117869465331,✗
APOB,-0.699,5229.1,3221.3,0.333,0.0774590119722042,✗
MTTP,-0.171,138.2,122.7,-0.165,0.570433417278888,✓
