program,human_n,human_mean,human_p,mouse_mean,mouse_p,snrna_pct,conserved
FAO,12,-0.388,0.002125248062260698,-0.421,0.03820498031693326,-35.7,✓ 一致
Peroxisome,10,-0.386,0.008635717662355427,-0.577,0.06509491027051291,-12.0,✓ 一致
Lipogenesis,7,-1.284,3.55048810420065e-05,0.85,0.04508046760973071,29.5,✗ 相反
Cholesterol_synth,13,-1.72,1.5113726403158534e-08,-0.293,0.21336956993161948,115.7,✓ 一致
Lipoprotein_assembly,9,-0.698,0.0022494761276991952,0.106,0.6459700928386305,-29.2,✗ 相反
LDLR_clearance,5,-0.019,0.6283230561075713,-1.097,0.07286629777071478,2.9,✓ 一致
Scavenger_SR_B,2,,,,,,n<3
FA_transport,5,-0.538,0.03588151310926877,-0.353,0.30307530944450123,-60.9,✓ 一致
HDL_efflux,2,,,,,,n<3
Biliary_excretion,6,-0.822,0.036305023679150054,-0.711,0.050326229198774504,-11.7,✓ 一致
Bile_acid_synth,2,,,,,,n<3
Lipid_peroxidation,8,-0.151,0.1241510955554615,1.291,0.20348714762806774,-32.2,✗ 相反
