,Control,Septic,ReD1,ReD2,ReD3
FAO,0.3209921292428131,-0.7314863360460073,-0.13976661025094436,0.4080401487294134,0.1422206683247232
Peroxisome,0.49207472987477824,-0.753633703633346,0.15880162759236668,0.12900722061362985,-0.026249874447426647
Lipogenesis,1.2854229479084052,-1.2856339594657145,0.08932484304780074,-0.10732391186352257,0.01821008037302922
Cholesterol_synth,1.470091453881189,-0.9495969813516183,-0.4547813902084036,-0.1497172932534379,0.08400421093226931
Lipoprotein_assembly,0.7921611436955991,-0.8608977039983301,0.25957104782338203,-0.21018869610272803,0.01935420858207545
LDLR_clearance,-0.6220854197100685,-0.6951759930161292,0.5293544358259122,0.21267255966259418,0.5752344172377047
Scavenger_SR_B,0.7828133012946779,-1.0350057298664996,0.3186853219273254,-0.03808443283324786,-0.028408460522260426
FA_transport,0.46423745033848707,-1.0247406909388712,0.09154462848787294,-0.03204038230050054,0.500998994413012
HDL_efflux,0.2514447905343181,0.8560175423459215,0.6563599861968629,-0.7600111270407599,-1.003811192036344
Biliary_excretion,0.20841900890823908,-1.0463930594512731,0.015978273888605482,0.28388169197425567,0.5381140846801756
Bile_acid_synth,-0.271092669290055,-0.9499943197216041,0.41497855485200813,0.5741442406929325,0.2319641934667288
Lipid_peroxidation,0.6069757764770831,-0.013356120574449654,0.30176634504230126,-0.35123194114978973,-0.5441540597951537
