program,gene
FAO,Cpt1a
FAO,Cpt2
FAO,Acadm
FAO,Acadl
FAO,Acadvl
FAO,Hadha
FAO,Hadhb
FAO,Etfa
FAO,Etfb
FAO,Slc25a20
FAO,Acaa2
FAO,Echs1
Peroxisome,Acox1
Peroxisome,Acox2
Peroxisome,Acox3
Peroxisome,Hsd17b4
Peroxisome,Scp2
Peroxisome,Ehhadh
Peroxisome,Abcd1
Peroxisome,Abcd2
Peroxisome,Abcd3
Peroxisome,Decr2
Peroxisome,Crat
Lipogenesis,Acly
Lipogenesis,Acaca
Lipogenesis,Acacb
Lipogenesis,Fasn
Lipogenesis,Scd1
Lipogenesis,Scd2
Lipogenesis,Elovl6
Lipogenesis,Me1
Lipogenesis,Gpam
Cholesterol_synth,Hmgcs1
Cholesterol_synth,Hmgcr
Cholesterol_synth,Mvd
Cholesterol_synth,Mvk
Cholesterol_synth,Fdps
Cholesterol_synth,Fdft1
Cholesterol_synth,Sqle
Cholesterol_synth,Lss
Cholesterol_synth,Cyp51
Cholesterol_synth,Msmo1
Cholesterol_synth,Nsdhl
Cholesterol_synth,Sc5d
Cholesterol_synth,Dhcr7
Cholesterol_synth,Dhcr24
Cholesterol_synth,Idi1
Lipoprotein_assembly,Apob
Lipoprotein_assembly,Mttp
Lipoprotein_assembly,Tm6sf2
Lipoprotein_assembly,Sar1b
Lipoprotein_assembly,Apoa1
Lipoprotein_assembly,Apoa2
Lipoprotein_assembly,Apoa4
Lipoprotein_assembly,Apoc3
Lipoprotein_assembly,Apoe
LDLR_clearance,Ldlr
LDLR_clearance,Vldlr
LDLR_clearance,Lrp1
LDLR_clearance,Ldlrap1
LDLR_clearance,Lrpap1
Scavenger_SR_B,Scarb1
Scavenger_SR_B,Cd36
FA_transport,Slc27a1
FA_transport,Slc27a2
FA_transport,Slc27a4
FA_transport,Slc27a5
FA_transport,Fabp1
HDL_efflux,Abca1
HDL_efflux,Pltp
Biliary_excretion,Abcg5
Biliary_excretion,Abcg8
Biliary_excretion,Abcb11
Biliary_excretion,Abcb4
Biliary_excretion,Abcc2
Biliary_excretion,Atp8b1
Bile_acid_synth,Cyp7a1
Bile_acid_synth,Cyp8b1
Bile_acid_synth,Cyp27a1
Lipid_peroxidation,Gpx4
Lipid_peroxidation,Slc7a11
Lipid_peroxidation,Acsl4
Lipid_peroxidation,Alox5
Lipid_peroxidation,Alox15
Lipid_peroxidation,Hmox1
Lipid_peroxidation,Fth1
Lipid_peroxidation,Ftl1
Lipid_peroxidation,Tfrc
Lipid_peroxidation,Nqo1
